shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10386,45.448732,-73.714818,30002,9.637
10386,45.448774,-73.716841,30003,9.795
10386,45.448852,-73.720711,30004,10.098
10386,45.448924,-73.724436,30005,10.390
10386,45.449007,-73.728696,30006,10.723
10386,45.449067,-73.731577,30007,10.949
10386,45.449092,-73.732958,30008,11.057
10386,45.449105,-73.733767,30009,11.120
10386,45.449111,-73.734174,30010,11.152
10386,45.449108,-73.734634,30011,11.188
10386,45.449105,-73.734988,30012,11.216
10386,45.449081,-73.735978,30013,11.293
10386,45.449076,-73.736256,30014,11.315
10386,45.449066,-73.737027,30015,11.375
10386,45.449077,-73.737898,30016,11.443
10386,45.449130,-73.738638,30017,11.502
10386,45.449156,-73.740001,30018,11.608
10386,45.449189,-73.741673,30019,11.739
10386,45.449216,-73.743106,30020,11.851
10386,45.449216,-73.743106,40001,11.851
10386,45.449294,-73.747033,40002,12.159
10386,45.449355,-73.750220,40003,12.408
10386,45.449411,-73.753073,40004,12.632
10386,45.449462,-73.755930,40005,12.855
10386,45.449509,-73.758452,40006,13.053
10386,45.449526,-73.759358,40007,13.124
10386,45.449548,-73.760480,40008,13.212
10386,45.449628,-73.764137,40009,13.498
10386,45.449669,-73.766010,40010,13.645
10386,45.449704,-73.767960,40011,13.797
10386,45.449728,-73.769307,40012,13.903
10386,45.449767,-73.771256,40013,14.055
10386,45.449879,-73.776702,40014,14.482
10386,45.449926,-73.779266,40015,14.682
10386,45.449942,-73.780203,40016,14.756
10386,45.449984,-73.782266,40017,14.917
10386,45.449996,-73.782779,40018,14.957
10386,45.450025,-73.784147,40019,15.065
10386,45.450023,-73.786052,40020,15.214
10386,45.449967,-73.787874,40021,15.356
10386,45.449879,-73.789285,40022,15.467
10386,45.449860,-73.789586,40023,15.491
10386,45.449803,-73.790322,40024,15.549
10386,45.449792,-73.790470,40025,15.560
10386,45.449735,-73.791074,40026,15.608
10386,45.449707,-73.791365,40027,15.631
10386,45.449643,-73.791951,40028,15.678
10386,45.449631,-73.792059,40029,15.686
10386,45.449427,-73.793712,40030,15.817
10386,45.449226,-73.795049,40031,15.924
10386,45.448985,-73.796463,40032,16.038
10386,45.448921,-73.796798,40033,16.065
10386,45.448757,-73.797643,40034,16.134
10386,45.448503,-73.798791,40035,16.228
10386,45.448104,-73.800486,40036,16.368
10386,45.447620,-73.802228,40037,16.515
10386,45.447261,-73.803429,40038,16.617
10386,45.447261,-73.803429,50001,16.617
10386,45.446900,-73.804630,50002,16.719
10386,45.446567,-73.805732,50003,16.813
10386,45.445926,-73.807850,50004,16.993
10386,45.445491,-73.809288,50005,17.116
10386,45.445150,-73.810406,50006,17.211
10386,45.443945,-73.814364,50007,17.549
10386,45.443599,-73.815626,50008,17.655
10386,45.443435,-73.816231,50009,17.705
10386,45.442821,-73.818515,50010,17.897
10386,45.442485,-73.819747,50011,18.000
10386,45.442212,-73.820750,50012,18.084
10386,45.442018,-73.821473,50013,18.145
10386,45.441399,-73.823784,50014,18.338
10386,45.440853,-73.825802,50015,18.507
10386,45.439889,-73.829381,50016,18.807
10386,45.439666,-73.830203,50017,18.876
10386,45.439390,-73.831198,50018,18.960
10386,45.439082,-73.832348,50019,19.056
10386,45.438436,-73.834757,50020,19.258
10386,45.437756,-73.837283,50021,19.470
10386,45.437360,-73.838746,50022,19.593
10386,45.437012,-73.840027,50023,19.700
10386,45.436347,-73.842495,50024,19.907
10386,45.436155,-73.843048,50025,19.955
10386,45.435670,-73.844853,50026,20.106
10386,45.435015,-73.847270,50027,20.309
10386,45.434983,-73.847393,50028,20.319
10386,45.434983,-73.847389,60001,20.319
10386,45.434952,-73.847498,60002,20.328
10386,45.434651,-73.848621,60003,20.422
10386,45.434013,-73.851000,60004,20.622
10386,45.432869,-73.855250,60005,20.978
10386,45.432640,-73.856102,60006,21.049
10386,45.432457,-73.856795,60007,21.107
10386,45.432215,-73.857791,60008,21.190
10386,45.432041,-73.858533,60009,21.251
10386,45.431962,-73.858873,60010,21.279
10386,45.431940,-73.858987,60011,21.288
10386,45.431772,-73.859812,60012,21.355
10386,45.431691,-73.860227,60013,21.389
10386,45.431484,-73.861332,60014,21.479
10386,45.431383,-73.861959,60015,21.529
10386,45.431274,-73.862624,60016,21.582
10386,45.430875,-73.865138,60017,21.784
10386,45.430714,-73.866154,60018,21.866
10386,45.430535,-73.867296,60019,21.957
10386,45.430260,-73.869043,60020,22.097
10386,45.429771,-73.872127,60021,22.345
10386,45.429234,-73.875499,60022,22.616
10386,45.428726,-73.878704,60023,22.873
10386,45.428181,-73.882169,60024,23.151
10386,45.427756,-73.884832,60025,23.364
10386,45.427641,-73.885560,60026,23.423
10386,45.427614,-73.885738,60027,23.437
10386,45.427030,-73.889429,60028,23.733
10386,45.426783,-73.890981,60029,23.858
